textDisplay,normalized,clean_comment,sentiment
anomali baru kepala tokos bertubuh ompreng naik motor listrik,anomali baru kepala tokos bertubuh ompreng naik motor listrik,anomali baru kepala tokos bertubuh ompreng naik motor listrik,neutral
NKRI Lagi TDK baik2 saja.program presiden TDK ada yg berani menyentuh.bnyk kejanggalan disana.inikah janji Prabowo untuk rakyat,nkri lagi tidak baik2 saja.program presiden tidak ada yang berani menyentuh.bnyk kejanggalan disana.inikah janji prabowo untuk rakyat,nkri lagi tidak baik saja program presiden tidak ada yang berani menyentuh bnyk kejanggalan disana inikah janji prabowo untuk rakyat,negative
"Ini yg dinamakan perampokan secara terstruktur, sistematis dan masif . .dilakukan secara terang-terangan","ini yang dinamakan perampokan secara terstruktur, sistematis dan masif . .dilakukan secara terang-terangan",ini yang dinamakan perampokan secara terstruktur sistematis dan masif dilakukan secara terang terangan,negative
di alibaba harganya cuma 8-10jt tuh motor😹,di alibaba harganya cuma 8-10jt tuh motor😹,di alibaba harganya cuma jt tuh motor,negative
"yg dimakan siswa, satu porsi nya Rp 8000, yg dimakan espepege dan kawan-kawan, lebih gede.<br>logikanya gimana sih ?","yang dimakan siswa, satu porsi nya rp 8000, yang dimakan espepege dan kawan-kawan, lebih gede.<br>logikanya gimana sih ?",yang dimakan siswa satu porsi nya rp yang dimakan espepege dan kawan kawan lebih gede logikanya gimana sih,positive
Dahsyat sekali barang ini yang Namanya BGN..APAPUN BISA DI ACC ..,dahsyat sekali barang ini yang namanya bgn..apapun bisa di acc ..,dahsyat sekali barang ini yang namanya bgn apapun bisa di acc,positive
"Jika ada indikasi korupsi, sy yakin KPK tidak akan menagkapnya di pemerintahan sekarang karena ini program prioritas preseden nanti akan gaduh di masyarakat. Setelah pergantian pemerintahan, KPK pasti akan menangkap mereka semua.","jika ada indikasi korupsi, sy yakin kpk tidak akan menagkapnya di pemerintahan sekarang karena ini program prioritas preseden nanti akan gaduh di masyarakat. setelah pergantian pemerintahan, kpk pasti akan menangkap mereka semua.",jika ada indikasi korupsi sy yakin kpk tidak akan menagkapnya di pemerintahan sekarang karena ini program prioritas preseden nanti akan gaduh di masyarakat setelah pergantian pemerintahan kpk pasti akan menangkap mereka semua,negative
motornya bagus bgt buat nganter makanan doang,motornya bagus banget buat nganter makanan doang,motornya bagus banget buat nganter makanan doang,positive
Uang Rakyat di hambur*kan tidak jelas..! gila nih rezim skr.,uang rakyat di hambur*kan tidak jelas..! gila nih rezim skr.,uang rakyat di hambur kan tidak jelas gila nih rezim skr,negative
Bast barangnya selesai kapan tuh?<br>Perasaan barangnya masih di gudang. Dan pemberian kesempatan cuma sampai 90 hari setelah akhir tahun.,bast barangnya selesai kapan tuh?<br>perasaan barangnya masih di gudang. dan pemberian kesempatan cuma sampai 90 hari setelah akhir tahun.,bast barangnya selesai kapan tuh perasaan barangnya masih di gudang dan pemberian kesempatan cuma sampai hari setelah akhir tahun,negative
Nikmatilah dgn org yg kalian pilih dan puja puji,nikmatilah dengan org yang kalian pilih dan puja puji,nikmatilah dengan org yang kalian pilih dan puja puji,positive
EFISIENSI ❤❤❤❤,efisiensi ❤❤❤❤,efisiensi,neutral
orang sendiri jangan cocoba2 usik,orang sendiri jangan cocoba2 usik,orang sendiri jangan cocoba usik,negative
"silakan pura2 tuli, tunggu saja akumulasi kemarahan rakyat akan meledak nanti entah melalui demo dalam waktu dekat atau penenggwlaman rezim omon2 dan dinasti solo pada 2029. ayo mulai cerdas memilih di 2029 jangan mau politik uang, bansos, dan kasihan atau lucu lucuan.","silakan pura2 tuli, tunggu saja akumulasi kemarahan rakyat akan meledak nanti entah melalui demo dalam waktu dekat atau penenggwlaman rezim omon2 dan dinasti solo pada 2029. ayo mulai cerdas memilih di 2029 jangan mau politik uang, bansos, dan kasihan atau lucu lucuan.",silakan pura tuli tunggu saja akumulasi kemarahan rakyat akan meledak nanti entah melalui demo dalam waktu dekat atau penenggwlaman rezim omon dan dinasti solo pada ayo mulai cerdas memilih di jangan mau politik uang bansos dan kasihan atau lucu lucuan,negative
"Program MBG dapat apresiasi dari negara-negara yang tidak ingin Indonesia maju, sayangnya si Bowo gak sadar","program mbg dapat apresiasi dari negara-negara yang tidak ingin indonesia maju, sayangnya si bowo gak sadar",program mbg dapat apresiasi dari negara negara yang tidak ingin indonesia maju sayangnya si bowo gak sadar,positive
"Aku yakin motor listrik itu dlm waktu tiga tahun sdh remuk mesinnya,","aku yakin motor listrik itu dlm waktu tiga tahun sdh remuk mesinnya,",aku yakin motor listrik itu dlm waktu tiga tahun sdh remuk mesinnya,negative
"harga di ekatalog emang kadang gak ngotak harganya bisa 2 kali lipat harga pasar, tahu dah sisa lebihnya kemana<a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a>","harga di ekatalog emang kadang gak ngotak harganya bisa 2 kali lipat harga pasar, tahu dah sisa lebihnya kemana<a href=""uckszu2wh9gy1mb0dv-11ujg/ksify6lzfolm6akanydqag""></a>",harga di ekatalog emang kadang gak ngotak harganya bisa kali lipat harga pasar tahu dah sisa lebihnya kemana,positive
"Penggadaan Program ini sudah direncanakan,,, utk peluang korupsi lagi para elit penguasa di negeri ini,,,Uang dri rakyat tpi bukan utk mensejahterakan rakyat,,","penggadaan program ini sudah direncanakan,,, utk peluang korupsi lagi para elit penguasa di negeri ini,,,uang dri rakyat tpi bukan utk mensejahterakan rakyat,,",penggadaan program ini sudah direncanakan utk peluang korupsi lagi para elit penguasa di negeri ini uang dri rakyat tpi bukan utk mensejahterakan rakyat,negative
KPK mana KPK 😂😂<br>Kejagung mana Kejagung 😂😂🎉🎉,kpk mana kpk 😂😂<br>kejagung mana kejagung 😂😂🎉🎉,kpk mana kpk kejagung mana kejagung,neutral
"Pemborosan anggaran, disisi lain byk daerah yg program penting tdk jln kr snggaran negara byk ke MBG","pemborosan anggaran, disisi lain byk daerah yang program penting tidak jln kr snggaran negara byk ke mbg",pemborosan anggaran disisi lain byk daerah yang program penting tidak jln kr snggaran negara byk ke mbg,negative
Isinya bandit semua maling duit rakyat yg dilegalkan😂,isinya bandit semua maling duit rakyat yang dilegalkan😂,isinya bandit semua maling duit rakyat yang dilegalkan,negative
Program kesayangan presiden mana ada yg berani ganggu😂,program kesayangan presiden mana ada yang berani ganggu😂,program kesayangan presiden mana ada yang berani ganggu,negative
"😂tempo sebaiknya investigasi juga,.... Sppg itu baru ada pd november 2025 dgn perpres 115/2025 ttg tata kelola mbg, kok sdh ada anggarannya th 2025","😂tempo sebaiknya investigasi juga,.... sppg itu baru ada pd november 2025 dengan perpres 115/2025 ttg tata kelola mbg, kok sdh ada anggarannya th 2025",tempo sebaiknya investigasi juga sppg itu baru ada pd november dengan perpres ttg tata kelola mbg kok sdh ada anggarannya th,neutral
Bongkar bongkar bongkar sampai tuntas,bongkar bongkar bongkar sampai tuntas,bongkar bongkar bongkar sampai tuntas,negative
Batalkan motor listrik MBG karena mubazir Anggaran Triliunan Rupiah...dari mana datangnya motor listrik tiba tiba sudah ada .. seperti Misterius Honda Listrik.🤣,batalkan motor listrik mbg karena mubazir anggaran triliunan rupiah...dari mana datangnya motor listrik tiba tiba sudah ada .. seperti misterius honda listrik.🤣,batalkan motor listrik mbg karena mubazir anggaran triliunan rupiah dari mana datangnya motor listrik tiba tiba sudah ada seperti misterius honda listrik,negative
"DPR kok diam aja dgn kisruh MBG, memangnya DPR tdk tau?","dpr kok diam aja dengan kisruh mbg, memangnya dpr tidak tau?",dpr kok diam aja dengan kisruh mbg memangnya dpr tidak tau,negative
Pejabat jangan pura2 tak tau sok bersih semua satu kesatuan,pejabat jangan pura2 tak tau sok bersih semua satu kesatuan,pejabat jangan pura tak tau sok bersih semua satu kesatuan,negative
jadi ini kualitas jendral TNI yang di elu-elukan ? kualitasnya cuma sebatas makelar proyek,jadi ini kualitas jendral tni yang di elu-elukan ? kualitasnya cuma sebatas makelar proyek,jadi ini kualitas jendral tni yang di elu elukan kualitasnya cuma sebatas makelar proyek,negative
Pak Dadan pak Dadan.<br>Dulu ibunya ajarin apa sich?<br>Bapaknya ajarin apa?,pak dadan pak dadan.<br>dulu ibunya ajarin apa sich?<br>bapaknya ajarin apa?,pak dadan pak dadan dulu ibunya ajarin apa sich bapaknya ajarin apa,neutral
Pengadaan sepeda motor listrik oleh BGN mencurigakan. Dilakukan tanpa tender terbuka dan vendornya nggak jelas kredibilitasnya. Pihak KPK dan Kejagung wajib periksa BGN!.....😮,pengadaan sepeda motor listrik oleh bgn mencurigakan. dilakukan tanpa tender terbuka dan vendornya tidak jelas kredibilitasnya. pihak kpk dan kejagung wajib periksa bgn!.....😮,pengadaan sepeda motor listrik oleh bgn mencurigakan dilakukan tanpa tender terbuka dan vendornya tidak jelas kredibilitasnya pihak kpk dan kejagung wajib periksa bgn,negative
"abis Motor MBG trus Kaos Kaki MBG👉besok apa?Pengadaan Celana dalam, pembalut+ beha ber logo BGN ya?😅","abis motor mbg trus kaos kaki mbg👉besok apa?pengadaan celana dalam, pembalut+ beha ber logo bgn ya?😅",abis motor mbg trus kaos kaki mbgbesok apa pengadaan celana dalam pembalut beha ber logo bgn ya,neutral
Bebaskan semua koruptor sampe kutub selatan 😂,bebaskan semua koruptor sampe kutub selatan 😂,bebaskan semua koruptor sampe kutub selatan,negative
Paling panrikan china trus pasang logo baru😅,paling panrikan china trus pasang logo baru😅,paling panrikan china trus pasang logo baru,negative
Menteri Keuangan yang membuat aturan perlu ditangkap&amp;diperiksa,menteri keuangan yang membuat aturan perlu ditangkap&amp;diperiksa,menteri keuangan yang membuat aturan perlu ditangkap amp diperiksa,neutral
"@thoy1besde9an96 lah Menkeu nya kan si Purbaya, lupa kah bang","@thoy1besde9an96 lah menkeu nya kan si purbaya, lupa kah bang",thoybesdean lah menkeu nya kan si purbaya lupa kah bang,neutral
Inilah kebijakan yang semau gue.selalu membuat gaduh rakyat sampai anggota Dpr. Apakah separah ini semua kebijakan mengandung  ketitak beresan dlm mengelolah RAPBN UANG RAKYAT PEMBAYAR PAJAK.,inilah kebijakan yang semau gue.selalu membuat gaduh rakyat sampai anggota dpr. apakah separah ini semua kebijakan mengandung  ketitak beresan dlm mengelolah rapbn uang rakyat pembayar pajak.,inilah kebijakan yang semau gue selalu membuat gaduh rakyat sampai anggota dpr apakah separah ini semua kebijakan mengandung ketitak beresan dlm mengelolah rapbn uang rakyat pembayar pajak,negative
"Kalo bisa ga pake aturan, ngapain pake aturan? 😂","kalo bisa tidak pake aturan, ngapain pake aturan? 😂",kalo bisa tidak pake aturan ngapain pake aturan,negative
Di konoha ga butuh pendidikan yg di butuhkan cuma makan.<br>Padahal kalo pendidikan di kelola dg baik makan juga bakal tercukupi.,di konoha tidak butuh pendidikan yang di butuhkan cuma makan.<br>padahal kalo pendidikan di kelola dg baik makan juga bakal tercukupi.,di konoha tidak butuh pendidikan yang di butuhkan cuma makan padahal kalo pendidikan di kelola dg baik makan juga bakal tercukupi,positive
Intinya untuk program populis seperti MBG dan KDMP all in <br>dan uangnya pasti ada,intinya untuk program populis seperti mbg dan kdmp all in <br>dan uangnya pasti ada,intinya untuk program populis seperti mbg dan kdmp all in dan uangnya pasti ada,negative
Kayanya indo sudah ngga ada lembaga anti rasuah,kayanya indo sudah ngga ada lembaga anti rasuah,kayanya indo sudah ngga ada lembaga anti rasuah,negative
Badan Garong Nasional,badan garong nasional,badan garong nasional,neutral
Omon2 Mana Nih. Gembar gembor doang,omon2 mana nih. gembar gembor doang,omon mana nih gembar gembor doang,negative
"Rakyat protes, sementara DPR, kepolisian, kejaksaan &amp; institusi penegak hukum lainnya cuma diam maka artinya ada yang tidak beres","rakyat protes, sementara dpr, kepolisian, kejaksaan &amp; institusi penegak hukum lainnya cuma diam maka artinya ada yang tidak beres",rakyat protes sementara dpr kepolisian kejaksaan amp institusi penegak hukum lainnya cuma diam maka artinya ada yang tidak beres,negative
Nikmati aja,nikmati aja,nikmati aja,negative
Harusnya jd sasaran empuk lembaga anti rasuah tuh,harusnya jd sasaran empuk lembaga anti rasuah tuh,harusnya jd sasaran empuk lembaga anti rasuah tuh,negative
Barang ini nama globalnya Tinbot (pasar Amerika) dan Kollter (pasar Tiongkok). Kolaborasi made in Tiongkok - Jerman. Bisa dicek di Alibaba untuk spek yang sama harganya berapa 😂.,barang ini nama globalnya tinbot (pasar amerika) dan kollter (pasar tiongkok). kolaborasi made in tiongkok - jerman. bisa dicek di alibaba untuk spek yang sama harganya berapa 😂.,barang ini nama globalnya tinbot pasar amerika dan kollter pasar tiongkok kolaborasi made in tiongkok jerman bisa dicek di alibaba untuk spek yang sama harganya berapa,neutral
"Gimana mau memperbaiki gizi, terlalu banyak calo yang bermain di proyek MBG, <br>Saya salah satu korban nya, <br>Pertama mereka memesan ribuan kue dengan harga 2500/pcs.<br>Setelah jadi mendadak mereka minta harga dikurangi jadi 1500/pcs.<br>Padahal seluruh order sudah selesai dibuat.. <br>Penipuan ini udah di alami hampir seluruh UMKM. <br>Lapor polisi pun dari bulan Desember 2025 sampai sekarang gak di respon. <br>Kejadiannya di Bukittinggi- Sumatera Barat","gimana mau memperbaiki gizi, terlalu banyak calo yang bermain di proyek mbg, <br>saya salah satu korban nya, <br>pertama mereka memesan ribuan kue dengan harga 2500/pcs.<br>setelah jadi mendadak mereka minta harga dikurangi jadi 1500/pcs.<br>padahal seluruh order sudah selesai dibuat.. <br>penipuan ini udah di alami hampir seluruh umkm. <br>lapor polisi pun dari bulan desember 2025 sampai sekarang gak di respon. <br>kejadiannya di bukittinggi- sumatera barat",gimana mau memperbaiki gizi terlalu banyak calo yang bermain di proyek mbg saya salah satu korban nya pertama mereka memesan ribuan kue dengan harga pcs setelah jadi mendadak mereka minta harga dikurangi jadi pcs padahal seluruh order sudah selesai dibuat penipuan ini udah di alami hampir seluruh umkm lapor polisi pun dari bulan desember sampai sekarang gak di respon kejadiannya di bukittinggi sumatera barat,negative
"Harga motornya puluhan juta, harga makannya puluhan ribu 😂","harga motornya puluhan juta, harga makannya puluhan ribu 😂",harga motornya puluhan juta harga makannya puluhan ribu,neutral
Habis Prabowo Terbitlah penangkapan koruptors,habis prabowo terbitlah penangkapan koruptors,habis prabowo terbitlah penangkapan koruptors,negative
"Bukti bahwa sebenarnya Indonesia sangat kaya &amp; bisa menjadi negara dengan infrastruktur yg maju, asal duitnya tidak dikorupsi,","bukti bahwa sebenarnya indonesia sangat kaya &amp; bisa menjadi negara dengan infrastruktur yang maju, asal duitnya tidak dikorupsi,",bukti bahwa sebenarnya indonesia sangat kaya amp bisa menjadi negara dengan infrastruktur yang maju asal duitnya tidak dikorupsi,negative
Kepala BGN org sakti <br>Siapanya prabowo?,kepala bgn org sakti <br>siapanya prabowo?,kepala bgn org sakti siapanya prabowo,neutral
"Memiliki armada sendiri memastikan distribusi makanan tidak tergantung pada pihak ketiga. Dengan motor operasional resmi, jadwal pengiriman ke sekolah-sekolah bisa lebih disiplin dan terjamin ketepatannya","memiliki armada sendiri memastikan distribusi makanan tidak tergantung pada pihak ketiga. dengan motor operasional resmi, jadwal pengiriman ke sekolah-sekolah bisa lebih disiplin dan terjamin ketepatannya",memiliki armada sendiri memastikan distribusi makanan tidak tergantung pada pihak ketiga dengan motor operasional resmi jadwal pengiriman ke sekolah sekolah bisa lebih disiplin dan terjamin ketepatannya,positive
"Kementerian lain dan pemerintah daerah di efsiensi , BGN malah menghamburkan anggaran gak jelas","kementerian lain dan pemerintah daerah di efsiensi , bgn malah menghamburkan anggaran gak jelas",kementerian lain dan pemerintah daerah di efsiensi bgn malah menghamburkan anggaran gak jelas,negative
Mobil juga sudah cukup kalee,mobil juga sudah cukup kalee,mobil juga sudah cukup kalee,positive
Semoga cepet lengser presiden lol yg 1 ini,semoga cepet lengser presiden lol yang 1 ini,semoga cepet lengser presiden lol yang ini,negative
Mbg ..................motor<br>Koperasi ...........monil<br>Tender 😂😂😂😂😂,mbg ..................motor<br>koperasi ...........monil<br>tender 😂😂😂😂😂,mbg motorkoperasi moniltender,neutral
"Sama prabowo gak ngaruh semua aturan.<br>Kalau gak sesuai aturan, aturannya yg  di rubah😂","sama prabowo gak ngaruh semua aturan.<br>kalau gak sesuai aturan, aturannya yang  di rubah😂",sama prabowo gak ngaruh semua aturan kalau gak sesuai aturan aturannya yang di rubah,negative
"Jauh Jauh mau Mengejar Korupsi ke Antartika, yang dekat nya saja dibiarkan seperti ini, sungguh terlalu","jauh jauh mau mengejar korupsi ke antartika, yang dekat nya saja dibiarkan seperti ini, sungguh terlalu",jauh jauh mau mengejar korupsi ke antartika yang dekat nya saja dibiarkan seperti ini sungguh terlalu,negative
Kok bisa ya ??,kok bisa ya ??,kok bisa ya,negative
Molis uwinfly 18 jt udah ma btrai...<br><br>Dengan pesanan 20 rb unit uwinfly bz bkin model bgtu,molis uwinfly 18 jt udah ma btrai...<br><br>dengan pesanan 20 rb unit uwinfly bz bkin model bgtu,molis uwinfly jt udah ma btrai dengan pesanan rb unit uwinfly bz bkin model bgtu,neutral
Prabowo ini buta apa bisa melihat. Sudah jelas sejelas jelasnya. Bahwasanya MBG itu korupsi nyata. Gaji TDK sesuai kerja. Kerja 3jam gaji 100 keatas. Yg kerja rata&quot; antek&quot; pemerintah desa. Nyata fakta,prabowo ini buta apa bisa melihat. sudah jelas sejelas jelasnya. bahwasanya mbg itu korupsi nyata. gaji tidak sesuai kerja. kerja 3jam gaji 100 keatas. yang kerja rata&quot; antek&quot; pemerintah desa. nyata fakta,prabowo ini buta apa bisa melihat sudah jelas sejelas jelasnya bahwasanya mbg itu korupsi nyata gaji tidak sesuai kerja kerja jam gaji keatas yang kerja rata quot antek quot pemerintah desa nyata fakta,negative
"Klau Pengadaan MBG ditrskan, Artinya negara ini tidak defisit, dan rakyat berhak menuntut apapun dr pemerintah , jgn lg ada efisiensi dimnapun. BGN sdh tdk sehat, ubah Sistem MBG dr atas sampai bawah.","klau pengadaan mbg ditrskan, artinya negara ini tidak defisit, dan rakyat berhak menuntut apapun dr pemerintah , jgn lg ada efisiensi dimnapun. bgn sdh tidak sehat, ubah sistem mbg dr atas sampai bawah.",klau pengadaan mbg ditrskan artinya negara ini tidak defisit dan rakyat berhak menuntut apapun dr pemerintah jgn lg ada efisiensi dimnapun bgn sdh tidak sehat ubah sistem mbg dr atas sampai bawah,negative
"Banyak pola ini itu buat proyek mbg ya.., udah banyak pake uang rakyat. Korupsi masih ada aja.. negara banyak² in hutang buat anggaran yg gak bermutu","banyak pola ini itu buat proyek mbg ya.., udah banyak pake uang rakyat. korupsi masih ada aja.. negara banyak² in hutang buat anggaran yang gak bermutu",banyak pola ini itu buat proyek mbg ya udah banyak pake uang rakyat korupsi masih ada aja negara banyak in hutang buat anggaran yang gak bermutu,negative
Ini gila bener,ini gila bener,ini gila bener,negative
jago bener main sulappp,jago bener main sulappp,jago bener main sulappp,positive
Perencanaan pengadaan seenak dewe...,perencanaan pengadaan seenak dewe...,perencanaan pengadaan seenak dewe,positive
PMKnya aja tahun 2025. brrti peraturan pencairannya memang sengaja dibuat untuk pengadaan ini. ckck.,pmknya aja tahun 2025. brrti peraturan pencairannya memang sengaja dibuat untuk pengadaan ini. ckck.,pmknya aja tahun brrti peraturan pencairannya memang sengaja dibuat untuk pengadaan ini ckck,negative
Inget gak pernah ada pejabat gemoy bilang bhwa indonesia akan bubar di 2030?<br>Jngan2 dia jga pelakunya,inget gak pernah ada pejabat gemoy bilang bhwa indonesia akan bubar di 2030?<br>jngan2 dia jga pelakunya,inget gak pernah ada pejabat gemoy bilang bhwa indonesia akan bubar di jngan dia jga pelakunya,negative
Zolim,zolim,zolim,negative
Prabowo Subianto liat ni kok gini tujuan MBG buat makan kenapa uang nya di habur hamburkan enak banget  MBG dapat gaji6 juta sehari dapat motor trail motor baru juga nanti  pasti minta  mobil MBG baru terus minta apartemen baru negara ini me anak emas kan MBG enak enak banget gak urgensi,prabowo subianto liat ni kok gini tujuan mbg buat makan kenapa uang nya di habur hamburkan enak banget  mbg dapat gaji6 juta sehari dapat motor trail motor baru juga nanti  pasti minta  mobil mbg baru terus minta apartemen baru negara ini me anak emas kan mbg enak enak banget gak urgensi,prabowo subianto liat ni kok gini tujuan mbg buat makan kenapa uang nya di habur hamburkan enak banget mbg dapat gaji juta sehari dapat motor trail motor baru juga nanti pasti minta mobil mbg baru terus minta apartemen baru negara ini me anak emas kan mbg enak enak banget gak urgensi,positive
"BOM WAKTU itu BERUPA kekecewaan rakyat, akibat para PEJABAT yang BUTA MATA HATINYA","bom waktu itu berupa kekecewaan rakyat, akibat para pejabat yang buta mata hatinya",bom waktu itu berupa kekecewaan rakyat akibat para pejabat yang buta mata hatinya,negative
"dari semua era politik di indonesia, BGN ini gk ada perkembangannya. tetap saja kekurangan gizi di 3T dan tempat lainnya. dan giliran dikasih panggung malah makin ngaco, malah kementrian 3T dari kantor, akomodasi, infrastrukturnya buruk banget loh dari kementrian lain yang berjejer di monas. Seakan akan emang daerah 3T emang harus tertinggal.","dari semua era politik di indonesia, bgn ini tidak ada perkembangannya. tetap saja kekurangan gizi di 3t dan tempat lainnya. dan giliran dikasih panggung malah makin ngaco, malah kementrian 3t dari kantor, akomodasi, infrastrukturnya buruk banget loh dari kementrian lain yang berjejer di monas. seakan akan emang daerah 3t emang harus tertinggal.",dari semua era politik di indonesia bgn ini tidak ada perkembangannya tetap saja kekurangan gizi di t dan tempat lainnya dan giliran dikasih panggung malah makin ngaco malah kementrian t dari kantor akomodasi infrastrukturnya buruk banget loh dari kementrian lain yang berjejer di monas seakan akan emang daerah t emang harus tertinggal,negative
Perinsip ku seharus nya membagikan mbg nya ngga usah pake mobil mending pake motor pastinya<br>Yg lain ikut kebagian pekerjaan (@prabowo Subianto),perinsip ku seharus nya membagikan mbg nya ngga usah pake mobil mending pake motor pastinya<br>yang lain ikut kebagian pekerjaan (@prabowo subianto),perinsip ku seharus nya membagikan mbg nya ngga usah pake mobil mending pake motor pastinyayang lain ikut kebagian pekerjaan prabowo subianto,positive
